"Notes","Occurrence County","Occurrence County Code","Multiple Cause of death","Multiple Cause of death Code",Deaths,Population,Crude Rate,% of Total Deaths
,"Coosa County, AL","01037","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",49,Not Applicable,Not Applicable,0.0%
,"Covington County, AL","01039","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",243,Not Applicable,Not Applicable,0.0%
,"Crenshaw County, AL","01041","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",64,Not Applicable,Not Applicable,0.0%
,"Cullman County, AL","01043","Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder","F15.9",27,Not Applicable,Not Applicable,0.0%
,"Cullman County, AL","01043","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",468,Not Applicable,Not Applicable,0.0%
,"Cullman County, AL","01043","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",21,Not Applicable,Not Applicable,0.0%
,"Cullman County, AL","01043","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",36,Not Applicable,Not Applicable,0.0%
,"Cullman County, AL","01043","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",44,Not Applicable,Not Applicable,0.0%
,"Dale County, AL","01045","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",102,Not Applicable,Not Applicable,0.0%
,"Dale County, AL","01045","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",17,Not Applicable,Not Applicable,0.0%
,"Dallas County, AL","01047","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",78,Not Applicable,Not Applicable,0.0%
,"Dallas County, AL","01047","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",28,Not Applicable,Not Applicable,0.0%
,"Dallas County, AL","01047","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",13,Not Applicable,Not Applicable,0.0%
,"DeKalb County, AL","01049","Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder","F15.9",25,Not Applicable,Not Applicable,0.0%
,"DeKalb County, AL","01049","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",119,Not Applicable,Not Applicable,0.0%
,"DeKalb County, AL","01049","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder","F19.9",18,Not Applicable,Not Applicable,0.0%
,"DeKalb County, AL","01049","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",22,Not Applicable,Not Applicable,0.0%
,"DeKalb County, AL","01049","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",16,Not Applicable,Not Applicable,0.0%
,"DeKalb County, AL","01049","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",20,Not Applicable,Not Applicable,0.0%
,"Elmore County, AL","01051","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",193,Not Applicable,Not Applicable,0.0%
,"Elmore County, AL","01051","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",26,Not Applicable,Not Applicable,0.0%
,"Elmore County, AL","01051","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",23,Not Applicable,Not Applicable,0.0%
,"Escambia County, AL","01053","Mental and behavioural disorders due to use of opioids, dependence syndrome","F11.2",34,Not Applicable,Not Applicable,0.0%
,"Escambia County, AL","01053","Mental and behavioural disorders due to use of cannabinoids, unspecified mental and behavioural disorder","F12.9",48,Not Applicable,Not Applicable,0.0%
,"Escambia County, AL","01053","Mental and behavioural disorders due to use of cocaine, unspecified mental and behavioural disorder","F14.9",11,Not Applicable,Not Applicable,0.0%
,"Escambia County, AL","01053","Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder","F15.9",28,Not Applicable,Not Applicable,0.0%
,"Escambia County, AL","01053","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",307,Not Applicable,Not Applicable,0.0%
,"Escambia County, AL","01053","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use","F19.1",62,Not Applicable,Not Applicable,0.0%
,"Escambia County, AL","01053","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",15,Not Applicable,Not Applicable,0.0%
,"Escambia County, AL","01053","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",29,Not Applicable,Not Applicable,0.0%
,"Escambia County, AL","01053","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",24,Not Applicable,Not Applicable,0.0%
,"Escambia County, AL","01053","Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent","Y12",17,Not Applicable,Not Applicable,0.0%
,"Escambia County, AL","01053","Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent","Y14",16,Not Applicable,Not Applicable,0.0%
,"Etowah County, AL","01055","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",586,Not Applicable,Not Applicable,0.0%
,"Etowah County, AL","01055","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use","F19.1",37,Not Applicable,Not Applicable,0.0%
,"Etowah County, AL","01055","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",12,Not Applicable,Not Applicable,0.0%
,"Etowah County, AL","01055","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",35,Not Applicable,Not Applicable,0.0%
,"Etowah County, AL","01055","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",77,Not Applicable,Not Applicable,0.0%
,"Fayette County, AL","01057","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",59,Not Applicable,Not Applicable,0.0%
,"Fayette County, AL","01057","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use","F19.1",15,Not Applicable,Not Applicable,0.0%
,"Fayette County, AL","01057","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",12,Not Applicable,Not Applicable,0.0%
,"Franklin County, AL","01059","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",104,Not Applicable,Not Applicable,0.0%
,"Franklin County, AL","01059","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",12,Not Applicable,Not Applicable,0.0%
,"Franklin County, AL","01059","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",13,Not Applicable,Not Applicable,0.0%
,"Geneva County, AL","01061","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",189,Not Applicable,Not Applicable,0.0%
,"Geneva County, AL","01061","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use","F19.1",30,Not Applicable,Not Applicable,0.0%
,"Greene County, AL","01063","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",14,Not Applicable,Not Applicable,0.0%
,"Hale County, AL","01065","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",25,Not Applicable,Not Applicable,0.0%
,"Henry County, AL","01067","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",46,Not Applicable,Not Applicable,0.0%
,"Houston County, AL","01069","Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder","F15.9",12,Not Applicable,Not Applicable,0.0%
,"Houston County, AL","01069","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",474,Not Applicable,Not Applicable,0.0%
,"Houston County, AL","01069","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use","F19.1",75,Not Applicable,Not Applicable,0.0%
,"Houston County, AL","01069","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",19,Not Applicable,Not Applicable,0.0%
,"Houston County, AL","01069","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",18,Not Applicable,Not Applicable,0.0%
,"Houston County, AL","01069","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",26,Not Applicable,Not Applicable,0.0%
,"Jackson County, AL","01071","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",101,Not Applicable,Not Applicable,0.0%
,"Jackson County, AL","01071","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",17,Not Applicable,Not Applicable,0.0%
,"Jefferson County, AL","01073","Mental and behavioural disorders due to use of opioids, dependence syndrome","F11.2",10,Not Applicable,Not Applicable,0.0%
,"Jefferson County, AL","01073","Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder","F11.9",113,Not Applicable,Not Applicable,0.0%
,"Jefferson County, AL","01073","Mental and behavioural disorders due to use of cocaine, harmful use","F14.1",14,Not Applicable,Not Applicable,0.0%
,"Jefferson County, AL","01073","Mental and behavioural disorders due to use of cocaine, unspecified mental and behavioural disorder","F14.9",134,Not Applicable,Not Applicable,0.0%
,"Jefferson County, AL","01073","Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder","F15.9",74,Not Applicable,Not Applicable,0.0%
,"Jefferson County, AL","01073","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",3118,Not Applicable,Not Applicable,0.1%
,"Jefferson County, AL","01073","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use","F19.1",110,Not Applicable,Not Applicable,0.0%
,"Jefferson County, AL","01073","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder","F19.9",667,Not Applicable,Not Applicable,0.0%
,"Jefferson County, AL","01073","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",135,Not Applicable,Not Applicable,0.0%
,"Jefferson County, AL","01073","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",906,Not Applicable,Not Applicable,0.0%
,"Jefferson County, AL","01073","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",736,Not Applicable,Not Applicable,0.0%
,"Jefferson County, AL","01073","Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X64",10,Not Applicable,Not Applicable,0.0%
,"Jefferson County, AL","01073","Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent","Y14",12,Not Applicable,Not Applicable,0.0%
,"Lamar County, AL","01075","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",69,Not Applicable,Not Applicable,0.0%
,"Lauderdale County, AL","01077","Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder","F15.9",21,Not Applicable,Not Applicable,0.0%
,"Lauderdale County, AL","01077","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",499,Not Applicable,Not Applicable,0.0%
,"Lauderdale County, AL","01077","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use","F19.1",11,Not Applicable,Not Applicable,0.0%
,"Lauderdale County, AL","01077","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",17,Not Applicable,Not Applicable,0.0%
,"Lauderdale County, AL","01077","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",32,Not Applicable,Not Applicable,0.0%
,"Lauderdale County, AL","01077","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",51,Not Applicable,Not Applicable,0.0%
,"Lawrence County, AL","01079","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",41,Not Applicable,Not Applicable,0.0%
,"Lee County, AL","01081","Mental and behavioural disorders due to use of cocaine, unspecified mental and behavioural disorder","F14.9",10,Not Applicable,Not Applicable,0.0%
,"Lee County, AL","01081","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",394,Not Applicable,Not Applicable,0.0%
,"Lee County, AL","01081","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use","F19.1",53,Not Applicable,Not Applicable,0.0%
,"Lee County, AL","01081","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",23,Not Applicable,Not Applicable,0.0%
,"Lee County, AL","01081","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",26,Not Applicable,Not Applicable,0.0%
,"Lee County, AL","01081","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",40,Not Applicable,Not Applicable,0.0%
,"Limestone County, AL","01083","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",364,Not Applicable,Not Applicable,0.0%
,"Limestone County, AL","01083","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use","F19.1",12,Not Applicable,Not Applicable,0.0%
,"Limestone County, AL","01083","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",33,Not Applicable,Not Applicable,0.0%
,"Macon County, AL","01087","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",30,Not Applicable,Not Applicable,0.0%
,"Madison County, AL","01089","Mental and behavioural disorders due to use of cocaine, harmful use","F14.1",10,Not Applicable,Not Applicable,0.0%
,"Madison County, AL","01089","Mental and behavioural disorders due to use of cocaine, unspecified mental and behavioural disorder","F14.9",11,Not Applicable,Not Applicable,0.0%
,"Madison County, AL","01089","Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder","F15.9",21,Not Applicable,Not Applicable,0.0%
,"Madison County, AL","01089","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",1413,Not Applicable,Not Applicable,0.1%
,"Madison County, AL","01089","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use","F19.1",74,Not Applicable,Not Applicable,0.0%
,"Madison County, AL","01089","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder","F19.9",247,Not Applicable,Not Applicable,0.0%
,"Madison County, AL","01089","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",17,Not Applicable,Not Applicable,0.0%
,"Madison County, AL","01089","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",257,Not Applicable,Not Applicable,0.0%
,"Madison County, AL","01089","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",151,Not Applicable,Not Applicable,0.0%
,"Madison County, AL","01089","Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X64",10,Not Applicable,Not Applicable,0.0%
,"Marengo County, AL","01091","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",42,Not Applicable,Not Applicable,0.0%
,"Marion County, AL","01093","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",26,Not Applicable,Not Applicable,0.0%
,"Marshall County, AL","01095","Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder","F15.9",20,Not Applicable,Not Applicable,0.0%
,"Marshall County, AL","01095","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",258,Not Applicable,Not Applicable,0.0%
,"Marshall County, AL","01095","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use","F19.1",16,Not Applicable,Not Applicable,0.0%
,"Marshall County, AL","01095","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",12,Not Applicable,Not Applicable,0.0%
,"Marshall County, AL","01095","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",15,Not Applicable,Not Applicable,0.0%
,"Marshall County, AL","01095","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",70,Not Applicable,Not Applicable,0.0%
,"Mobile County, AL","01097","Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder","F11.9",15,Not Applicable,Not Applicable,0.0%
,"Mobile County, AL","01097","Mental and behavioural disorders due to use of cocaine, unspecified mental and behavioural disorder","F14.9",54,Not Applicable,Not Applicable,0.0%
,"Mobile County, AL","01097","Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder","F15.9",28,Not Applicable,Not Applicable,0.0%
,"Mobile County, AL","01097","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",2294,Not Applicable,Not Applicable,0.1%
,"Mobile County, AL","01097","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use","F19.1",205,Not Applicable,Not Applicable,0.0%
,"Mobile County, AL","01097","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder","F19.9",10,Not Applicable,Not Applicable,0.0%
,"Mobile County, AL","01097","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",91,Not Applicable,Not Applicable,0.0%
,"Mobile County, AL","01097","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",204,Not Applicable,Not Applicable,0.0%
,"Mobile County, AL","01097","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",209,Not Applicable,Not Applicable,0.0%
,"Mobile County, AL","01097","Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X64",11,Not Applicable,Not Applicable,0.0%
,"Monroe County, AL","01099","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",49,Not Applicable,Not Applicable,0.0%
,"Monroe County, AL","01099","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",10,Not Applicable,Not Applicable,0.0%
,"Montgomery County, AL","01101","Mental and behavioural disorders due to use of cocaine, unspecified mental and behavioural disorder","F14.9",16,Not Applicable,Not Applicable,0.0%
,"Montgomery County, AL","01101","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",546,Not Applicable,Not Applicable,0.0%
,"Montgomery County, AL","01101","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use","F19.1",48,Not Applicable,Not Applicable,0.0%
,"Montgomery County, AL","01101","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder","F19.9",85,Not Applicable,Not Applicable,0.0%
,"Montgomery County, AL","01101","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",23,Not Applicable,Not Applicable,0.0%
,"Montgomery County, AL","01101","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",59,Not Applicable,Not Applicable,0.0%
,"Montgomery County, AL","01101","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",101,Not Applicable,Not Applicable,0.0%
,"Morgan County, AL","01103","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",403,Not Applicable,Not Applicable,0.0%
,"Morgan County, AL","01103","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder","F19.9",101,Not Applicable,Not Applicable,0.0%
,"Morgan County, AL","01103","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",13,Not Applicable,Not Applicable,0.0%
,"Morgan County, AL","01103","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",66,Not Applicable,Not Applicable,0.0%
,"Morgan County, AL","01103","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",53,Not Applicable,Not Applicable,0.0%
